sentence,label,author,tok_lem_sentence,word_count
"I had said above that in a mere course of nature in the world an accurate correspondence between happiness and moral worth is not to be expected and must be regarded as impossible, and that therefore the possibility of the summum bonum cannot be admitted from this side except on the supposition of a moral Author of the world.",0,Kant,"['said', 'mere', 'course', 'nature', 'world', 'accurate', 'correspondence', 'happiness', 'moral', 'worth', 'pected', 'must', 'regarded', 'impossible', 'therefore', 'possibility', 'summum', 'bonum', 'admitted', 'side', 'cept', 'supposition', 'moral', 'author', 'world']",58
"for between a greater thing and a smaller there are increase and decrease, and do we not accordingly call the one to increase, the other to decrease?",2,Plato,"['greater', 'thing', 'smaller', 'increase', 'decrease', 'accordingly', 'call', 'one', 'increase', 'decrease']",26
": Excellent, Cleinias; let us do as you say.",2,Plato,"['cellent', 'cleinias', 'let', 'u', 'say']",8
"When he had bathed, and his children were brought to him, and the women belonging to his family were come, having conversed with them in the presence of Crito, and given them such injunctions as he wished, he directed the women and children to go away, and then returned to us.",2,Plato,"['bathed', 'child', 'brought', 'woman', 'belonging', 'family', 'come', 'conversed', 'presence', 'crito', 'given', 'injunction', 'wished', 'directed', 'woman', 'child', 'go', 'away', 'returned', 'u']",50
"Much rather has it been the good themselves, that is, the aristocratic, the powerful, the high-stationed, the high-minded, who have felt that they themselves were good, and that their actions were good, that is to say of the first order, in contradistinction to all the low, the low-minded, the vulgar, and the plebeian.",4,Nietzsche,"['much', 'rather', 'good', 'aristocratic', 'powerful', 'high', 'stationed', 'high', 'minded', 'felt', 'good', 'action', 'good', 'say', 'first', 'order', 'contradistinction', 'low', 'low', 'minded', 'vulgar', 'plebeian']",52
About fifteen hundred fell in the battle and pursuit And thus was concluded in a few weeks this enterprise rashly undertaken and feebly conducted.,1,Hume,"['fifteen', 'hundred', 'fell', 'battle', 'pursuit', 'thus', 'concluded', 'week', 'enterprise', 'rashly', 'undertaken', 'feebly', 'conducted']",23
A too great disproportion among the citizens weakens any state.,1,Hume,"['great', 'disproportion', 'among', 'citizen', 'weakens', 'state']",9
Presentiment does not denote that the existence of a thing is known in any way whatever.,4,Nietzsche,"['presentiment', 'denote', 'istence', 'thing', 'known', 'way', 'whatever']",15
"There are some laws of his concerning murders and heiresses extant, but these contain nothing that any one can say is new and his own.",3,Aristotle,"['law', 'concerning', 'murder', 'heiress', 'tant', 'contain', 'nothing', 'one', 'say', 'new']",24
"For we all know that Love is inseparable from Aphrodite, and if there were only one Aphrodite there would be only one Love; but as there are two goddesses there must be two Loves.",2,Plato,"['know', 'love', 'inseparable', 'aphrodite', 'one', 'aphrodite', 'would', 'one', 'love', 'two', 'goddess', 'must', 'two', 'love']",33
"Thereafter he resumed once more his old business of spinning the world out of his inmost being sub specie Spinozae; thereafter he became ever thinner and paler--became the ideal, became pure spirit, became the absolute, became the thing-in-itself....",4,Nietzsche,"['thereafter', 'resumed', 'old', 'business', 'spinning', 'world', 'inmost', 'sub', 'specie', 'spinozae', 'thereafter', 'became', 'ever', 'thinner', 'paler', 'became', 'ideal', 'became', 'pure', 'spirit', 'became', 'absolute', 'became', 'thing']",37
"Bourdeaux was sent over to England as minister; and all circumstances of respect were paid to the daring usurper, who had imbrued his hands in the blood of his sovereign, a prince so nearly related to the royal family of France.",1,Hume,"['bourdeau', 'sent', 'england', 'minister', 'circumstance', 'respect', 'paid', 'daring', 'usurper', 'imbrued', 'hand', 'blood', 'sovereign', 'prince', 'nearly', 'related', 'royal', 'family', 'france']",40
"The king, on his part, despatched another embassy, consisting of Urswic, the abbot of Abingdon, and Sir Richard Tonstal, who carried new proposals for an amicable treaty.",1,Hume,"['king', 'part', 'despatched', 'another', 'embassy', 'consisting', 'urswic', 'abbot', 'abingdon', 'sir', 'richard', 'tonstal', 'carried', 'new', 'proposal', 'amicable', 'treaty']",26
But men may consciously determine to evolve to a new civilization where formerly they evolved unconsciously and accidentally.,4,Nietzsche,"['men', 'may', 'consciously', 'determine', 'evolve', 'new', 'civilization', 'formerly', 'evolved', 'unconsciously', 'accidentally']",17
"When one of these herds in feeding meets with another they mix together, and the swineherds have no other expedient to separate them than to go to different quarters, where they sound their horn, and these animals, being accustomed to that signal, run immediately each to the horn of his own keeper.",1,Hume,"['one', 'herd', 'feeding', 'meet', 'another', 'mi', 'together', 'swineherd', 'pedient', 'separate', 'go', 'different', 'quarter', 'sound', 'horn', 'animal', 'accustomed', 'signal', 'run', 'immediately', 'horn', 'keeper']",51
