level_0,title,author
101874,The Thirty-Nine Steps,Buchan
36286,Prester John,Buchan
24130,Mr. Standfast,Buchan
55155,Greenmantle,Buchan
105417,The Son of Tarzan,Burroughs
34786,Tarzan the Terrible,Burroughs
49404,The Beasts of Tarzan,Burroughs
32201,Tarzan of the Apes,Burroughs
69464,Tarzan the Untamed,Burroughs
66143,Jungle Tales of Tarzan,Burroughs
98864,Tarzan and the Jewels of Opar,Burroughs
74089,The Man in the Iron Mask,Dumas
67447,Louise de la Valliere,Dumas
82755,Ten Years Later,Dumas
28234,Twenty Years After,Dumas
89351,"The Count of Monte Cristo, Illustrated",Dumas
44664,The Vicomte De Bragelonne,Dumas
39250,The Three Musketeers,Dumas
54366,Moonfleet,Falkner
10064,The Pathless Trail,Friel
43184,She and Allan,Haggard
61307,The Ancient Allan,Haggard
79683,Allan Quatermain,Haggard
50335,Child of Storm,Haggard
95290,The Ivory Child,Haggard
71059,King Solomon's Mines,Haggard
5039,The People of the Mist,Haggard
26720,Marie: An Episode in the Life of the Late Allan Quatermain,Haggard
37797,Hunter Quatermain's Story,Haggard
11753,"Maiwa's Revenge; Or, The War of the Little Hand",Haggard
7159,Allan and the Holy Flower,Haggard
3384,"Ayesha, the Return of She",Haggard
33830,Allan's Wife,Haggard
1,Finished,Haggard
16076,Rupert of Hentzau: From The Memoirs of Fritz Von Tarlenheim  Sequel to The Prisoner of Zenda,Hope
99996,The Prisoner of Zenda,Hope
48340,"""Captains Courageous"": A Story of the Grand Banks",Kipling
59569,Kim,Kipling
72306,White Fang,London
64444,The Call of the Wild,London
104083,"Moby-Dick; or, The Whale",Melville
97950,Caesar Dies,Mundy
102791,Rung Ho! A Novel,Mundy
87656,Jimgrim and Allah's Peace,Mundy
10875,The Winds of the World,Mundy
12264,Hira Singh : when India came to fight in Flanders,Mundy
37942,Caves of Terror,Mundy
53506,The Lion of Petra,Mundy
47305,Affair in Araby,Mundy
52333,King--of the Khyber Rifles: A Romance of Adventure,Mundy
17802,Guns of the Gods: A Story of Yasmini's Youth,Mundy
64509,The Eye of Zeitoon,Mundy
22118,The Ivory Trail,Mundy
58472,Told in the East,Mundy
57214,The League of the Scarlet Pimpernel,Orczy
76594,El Dorado: An Adventure of the Scarlet Pimpernel,Orczy
78439,The Elusive Pimpernel,Orczy
96869,The Scarlet Pimpernel,Orczy
13811,Captain Blood,Sabatini
84965,Scaramouche: A Romance of the French Revolution,Sabatini
23002,Kidnapped,Stevenson
1811,Catriona,Stevenson
19193,The Black Arrow: A Tale of Two Roses,Stevenson
48064,"Punch, or the London Charivari, Volume 156, April 2, 1919",Various
81652,Around the World in Eighty Days,Verne
62550,"Five Weeks in a Balloon  Or, Journeys and Discoveries in Africa by Three Englishmen",Verne
81544,"""Bones"": Being Further Adventures in Mr. Commissioner Sanders' Country",Wallace
104085,Bones in London,Wallace
100940,Sanders of the River,Wallace
32876,The Keepers of the King's Peace,Wallace
42183,The Book of All-Power,Wallace
