level_0,title,author
219,The Philosophy of the Moral Feelings,Abercrombie
2068,The Athenian Constitution,Aristotle
1208,The Poetics of Aristotle,Aristotle
2105,The Ethics of Aristotle,Aristotle
2081,Politics: A Treatise on Government,Aristotle
105,The Categories,Aristotle
3015,Aristotle on the art of poetry,Aristotle
120,Laughter: An Essay on the Meaning of the Comic,Bergson
2983,Three Dialogues Between Hylas and Philonous in Opposition to Sceptics and Atheists,Berkeley
2381,A Treatise Concerning the Principles of Human Knowledge,Berkeley
2615,Bacon,Church
2179,"Lectures on the true, the beautiful and the good",Cousin
2088,"A History of Indian Philosophy, Volume 1",Dasgupta
2760,Selections from the Principles of Philosophy,Descartes
643,Moral Principles in Education,Dewey
2110,Democracy and Education: An Introduction to the Philosophy of Education,Dewey
2764,Jewish History : An Essay in the Philosophy of History,Dubnow
2460,Initiation into Philosophy,Faguet
2245,An Introduction to Philosophy,Fullerton
2619,"Review of the Work of Mr John Stuart Mill Entitled, 'Examination of Sir William Hamilton's Philosophy.'",Grote
2194,Modern French Philosophy: a Study of the Development Since Comte,Gunn
2185,Bergson and His Philosophy,Gunn
2076,"The history of england, under the house of tudor.",Hume
4824,An Enquiry Concerning the Principles of Morals,Hume
2823,Dialogues Concerning Natural Religion,Hume
89,An Enquiry Concerning Human Understanding,Hume
2085,A Treatise of Human Nature,Hume
2101,Essays in Radical Empiricism,James
2544,A Pluralistic Universe  Hibbert Lectures at Manchester College on the Present Situation in Philosophy,James
2353,An Interpretation of Rudolf Eucken's Philosophy,Jones
2584,Rudolph Eucken : a philosophy of life,Jones
1327,The Philosophy of Despair,Jordan
2418,The Critique of Pure Reason,Kant
2093,"Literary and Philosophical Essays: French, German and Italian",Kant
2086, ,Kant
2074,A New Philosophy: Henri Bergson,Le Roy
1515,Second Treatise of Government,Locke
1070,A Short History of Greek Philosophy,Marshall
2973,Auguste Comte and Positivism,Mill
2082,Utilitarianism,Mill
173,Considerations on Representative Government,Mill
2562,Essays on some unsettled Questions of Political Economy,Mill
2387,Autobiography,Mill
2255,On Liberty,Mill
2750,"Critical Miscellanies (Vol. 3 of 3), Essay 10: Auguste Comte",Morley
5583,"Critical Miscellanies, (Vol. 3 of 3), Essay 2: The Death of Mr Mill; Essay 3: Mr Mill's Autobiography",Morley
2087,Burke,Morley
541,Homer and Classical Philology,Nietzsche
2103,The Will To Power,Nietzsche
2147,Thus Spake Zarathustra: A Book for All and None,Nietzsche
2510,The Antichrist,Nietzsche
2158,The Religion of the Samurai  A Study of Zen Philosophy and Discipline in China and Japan,Nukariya
2116,The Principles of Aesthetics,Parker
2273,The Psychology of Nations A Contribution to the Philosophy of History,Partridge
2175,Sextus Empiricus and Greek Scepticism,Patrick
380,Euthyphro,Plato
2080,Phaedrus,Plato
25,Theaetetus,Plato
12091,Ion,Plato
1912,Apology,Plato
2122,The Republic,Plato
2340,An Introduction to the Philosophy of Law,Pound
2212,Philosophy and Religion Six Lectures Delivered at Cambridge,Rashdall
2320,Mind and Motion and Monism,Romanes
2144,Proposed Roads to Freedom,Russell
441,Political Ideals,Russell
765,The Problems of Philosophy,Russell
2198,The Analysis of Mind,Russell
3976,Some Turns of Thought in Modern Philosophy: Five Essays,Santayana
2132,Philosophical Letters of Friedrich Schiller,Schiller
2280,Aesthetical Essays of Friedrich Schiller,Schiller
2976,Ethics — Part 4,Spinoza
2129,Ethics — Part 3,Spinoza
2734,Ethics — Part 2,Spinoza
2406,Ethics,Spinoza
3807,Ethics — Part 5,Spinoza
565,Ethics — Part 1,Spinoza
54985,On the Improvement of the Understanding,Spinoza
2694,"The English Utilitarians, Volume 1 (of 3)",Stephen
2269,A Guide to Stoicism,Stock
2788,Introduction to the Philosophy and Writings of Plato,Taylor
